,team,player,mp,ORtg,DRtg,bpm,game_id,date_game
242,PHI,lowryky01,1650,146,120,-3.7,202404020PHI,"Tue, Apr 2, 2024"
243,PHI,batumni01,1822,79,113,-4.4,202404020PHI,"Tue, Apr 2, 2024"
244,PHI,hieldbu01,1260,85,108,-6.2,202404020PHI,"Tue, Apr 2, 2024"
245,PHI,reedpa01,1114,134,104,6.9,202404020PHI,"Tue, Apr 2, 2024"
246,PHI,martike04,711,136,121,0.0,202404020PHI,"Tue, Apr 2, 2024"
247,PHI,covinro01,,,,,202404020PHI,"Tue, Apr 2, 2024"
248,PHI,maxeyty01,,,,,202404020PHI,"Tue, Apr 2, 2024"
249,PHI,wilsodj01,,,,,202404020PHI,"Tue, Apr 2, 2024"
250,OKC,dortlu01,1994,106,110,4.1,202404020PHI,"Tue, Apr 2, 2024"
251,OKC,wiggiaa01,1932,116,112,-2.6,202404020PHI,"Tue, Apr 2, 2024"
252,OKC,holmgch01,1746,114,116,0.4,202404020PHI,"Tue, Apr 2, 2024"
253,OKC,willija07,1706,108,117,2.9,202404020PHI,"Tue, Apr 2, 2024"
254,OKC,giddejo01,1658,98,120,-6.2,202404020PHI,"Tue, Apr 2, 2024"
255,OKC,joeis01,1673,110,113,7.5,202404020PHI,"Tue, Apr 2, 2024"
256,OKC,haywago01,1176,147,120,1.5,202404020PHI,"Tue, Apr 2, 2024"
257,OKC,willike04,857,130,119,5.4,202404020PHI,"Tue, Apr 2, 2024"
258,OKC,wallaca01,823,78,114,-10.8,202404020PHI,"Tue, Apr 2, 2024"
259,OKC,waterli01,477,102,118,-4.0,202404020PHI,"Tue, Apr 2, 2024"
260,OKC,muscami01,355,0,122,-15.6,202404020PHI,"Tue, Apr 2, 2024"
261,OKC,biyombi01,,,,,202404020PHI,"Tue, Apr 2, 2024"
262,MIN,edwaran01,2172,103,112,-6.0,202404020MIN,"Tue, Apr 2, 2024"
263,MIN,goberru01,2112,117,106,-2.6,202404020MIN,"Tue, Apr 2, 2024"
264,MIN,reidna01,2039,116,109,5.3,202404020MIN,"Tue, Apr 2, 2024"
265,MIN,conlemi01,1787,120,108,6.0,202404020MIN,"Tue, Apr 2, 2024"
266,MIN,mcdanja02,1643,78,113,-9.4,202404020MIN,"Tue, Apr 2, 2024"
267,MIN,anderky01,1809,149,105,16.0,202404020MIN,"Tue, Apr 2, 2024"
268,MIN,alexani01,1129,233,120,-1.2,202404020MIN,"Tue, Apr 2, 2024"
269,MIN,mclaujo01,1093,153,120,12.8,202404020MIN,"Tue, Apr 2, 2024"
270,MIN,morrimo01,613,86,107,-6.4,202404020MIN,"Tue, Apr 2, 2024"
271,MIN,garzalu01,,,,,202404020MIN,"Tue, Apr 2, 2024"
272,MIN,millele01,,,,,202404020MIN,"Tue, Apr 2, 2024"
273,MIN,minotjo01,,,,,202404020MIN,"Tue, Apr 2, 2024"
274,MIN,moorewe01,,,,,202404020MIN,"Tue, Apr 2, 2024"
275,MIN,warretj01,,,,,202404020MIN,"Tue, Apr 2, 2024"
276,HOU,vanvlfr01,2435,119,109,7.9,202404020MIN,"Tue, Apr 2, 2024"
277,HOU,greenja05,2295,103,123,-2.2,202404020MIN,"Tue, Apr 2, 2024"
278,HOU,smithja05,2156,126,121,2.1,202404020MIN,"Tue, Apr 2, 2024"
279,HOU,brookdi01,1740,69,124,-11.8,202404020MIN,"Tue, Apr 2, 2024"
280,HOU,thompam01,1525,123,107,8.0,202404020MIN,"Tue, Apr 2, 2024"
281,HOU,whitmca01,1397,93,120,-2.8,202404020MIN,"Tue, Apr 2, 2024"
282,HOU,greenje02,1268,155,121,5.9,202404020MIN,"Tue, Apr 2, 2024"
